-17	28	0
-17.0869795886	28.0468224578	10
-17.1740349028	28.0935900738	20
-17.2611660689	28.1403026921	30
-17.3483732121	28.1869601567	40
-17.4356564577	28.2335623115	50
-17.5230159304	28.2801089998	60
-17.6104517542	28.3266000651	70
-17.697964053	28.3730353503	80
-17.7855529501	28.4194146983	90
-17.8732185682	28.4657379517	100
-17.9609610299	28.5120049528	110
-18.0487804569	28.5582155437	120
-18.1366769708	28.6043695663	130
-18.2246506924	28.6504668623	140
-18.3127017422	28.6965072732	150
-18.4008302403	28.74249064	160
-18.489036306	28.7884168039	170
-18.5773200585	28.8342856055	180
-18.6656816162	28.8800968853	190
-18.7541210971	28.9258504837	200
-18.8426386187	28.9715462407	210
-18.9312342979	29.017183996	220
-19.0199082512	29.0627635894	230
-19.1086605946	29.1082848602	240
-19.1974914435	29.1537476476	250
-19.2864009127	29.1991517904	260
-19.3753891166	29.2444971274	270
-19.4644561689	29.289783497	280
-19.553602183	29.3350107376	290
-19.6428272715	29.3801786871	300
-19.7321315466	29.4252871833	310
-19.8215151198	29.4703360639	320
-19.9109781023	29.5153251662	330
-20.0005206045	29.5602543273	340
-20.0901427362	29.6051233842	350
-20.1798446068	29.6499321735	360
-20.269626325	29.6946805318	370
-20.3594879989	29.7393682954	380
-20.4494297361	29.7839953002	390
-20.5394516436	29.8285613822	400
-20.6295538276	29.8730663769	410
-20.719736394	29.9175101197	420
-20.8099994478	29.9618924458	430
-20.9003430936	30.0062131903	440
-20.9907674353	30.0504721878	450
-21.0812725762	30.094669273	460
-21.1718586188	30.1388042801	470
-21.2625256652	30.1828770433	480
-21.3532738167	30.2268873965	490
-21.4441031741	30.2708351734	500
-21.5350138375	30.3147202075	510
-21.6260059061	30.3585423321	520
-21.7170794788	30.4023013803	530
-21.8082346536	30.445997185	540
-21.899471528	30.4896295788	550
-21.9907901987	30.5331983943	560
-22.0821907616	30.5767034636	570
-22.1736733123	30.6201446189	580
-22.2652379453	30.663521692	590
-22.3568847546	30.7068345145	600
-22.4486138336	30.7500829181	610
-22.5404252746	30.7932667338	620
-22.6323191697	30.8363857928	630
-22.7242956098	30.8794399259	640
-22.8163546855	30.9224289639	650
-22.9084964864	30.9653527371	660
-23.0007211015	31.008211076	670
-23.0930286188	31.0510038105	680
-23.185419126	31.0937307706	690
-23.2778927097	31.136391786	700
-23.3704494558	31.1789866862	710
-23.4630894495	31.2215153005	720
-23.5558127753	31.2639774582	730
-23.6486195169	31.3063729881	740
-23.741509757	31.3487017191	750
-23.8344835777	31.3909634796	760
-23.9275410605	31.4331580982	770
-24.0206822857	31.475285403	780
-24.1139073331	31.5173452222	790
-24.2072162816	31.5593373835	800
-24.3006092093	31.6012617146	810
-24.3940861934	31.6431180431	820
-24.4876473104	31.6849061963	830
-24.581292636	31.7266260014	840
-24.6750222449	31.7682772853	850
-24.7688362111	31.8098598749	860
-24.8627346077	31.8513735968	870
-24.9567175069	31.8928182774	880
-25.0507849802	31.9341937432	890
-25.1449370981	31.9754998201	900
-25.2391739303	32.0167363343	910
-25.3334955456	32.0579031115	920
-25.427902012	32.0989999773	930
-25.5223933963	32.1400267573	940
-25.616969765	32.1809832767	950
-25.7116311831	32.2218693608	960
-25.806377715	32.2626848346	970
-25.9012094243	32.3034295228	980
-25.9961263734	32.3441032503	990
-26.0911286239	32.3847058415	1000
-26.1862162367	32.4252371209	1010
-26.2813892713	32.4656969127	1020
-26.3766477867	32.506085041	1030
-26.4719918408	32.5464013297	1040
-26.5674214904	32.5866456027	1050
-26.6629367917	32.6268176836	1060
-26.7585377995	32.6669173959	1070
-26.8542245681	32.7069445631	1080
-26.9499971505	32.7468990084	1090
-27.0458555987	32.7867805548	1100
-27.141799964	32.8265890254	1110
-27.2378302965	32.866324243	1120
-27.3339466454	32.9059860302	1130
-27.4301490587	32.9455742097	1140
-27.5264375837	32.9850886039	1150
-27.6228122665	33.0245290352	1160
-27.7192731523	33.0638953256	1170
-27.815820285	33.1031872974	1180
-27.9124537079	33.1424047723	1190
-28.0091734628	33.1815475723	1200
-28.1059795909	33.2206155191	1210
-28.202872132	33.2596084342	1220
-28.299851125	33.2985261392	1230
-28.3969166078	33.3373684553	1240
-28.4940686172	33.3761352039	1250
-28.5913071887	33.4148262061	1260
-28.6886323572	33.453441283	1270
-28.786044156	33.4919802553	1280
-28.8835426176	33.5304429441	1290
-28.9811277734	33.56882917	1300
-29.0787996536	33.6071387536	1310
-29.1765582874	33.6453715155	1320
-29.2744037028	33.6835272762	1330
-29.3723359267	33.7216058558	1340
-29.4703549849	33.7596070748	1350
-29.5684609021	33.7975307532	1360
-29.6666537017	33.8353767112	1370
-29.7649334061	33.8731447686	1380
-29.8633000366	33.9108347455	1390
-29.9617536133	33.9484464616	1400
-30.0602941549	33.9859797368	1410
-30.1589216794	34.0234343905	1420
-30.2576362033	34.0608102426	1430
-30.3564377419	34.0981071123	1440
-30.4553263094	34.1353248194	1450
-30.5543019189	34.172463183	1460
-30.6533645823	34.2095220225	1470
-30.75251431	34.2465011571	1480
-30.8517511116	34.2834004062	1490
-30.9510749952	34.3202195887	1500
-31.0504859678	34.3569585237	1510
-31.1499840352	34.3936170304	1520
-31.2495692018	34.4301949276	1530
-31.349241471	34.4666920342	1540
-31.4490008448	34.5031081692	1550
-31.5488473239	34.5394431513	1560
-31.648780908	34.5756967994	1570
-31.7488015952	34.6118689321	1580
-31.8489093825	34.6479593682	1590
-31.9491042658	34.6839679264	1600
-32.0493862394	34.7198944252	1610
-32.1497552966	34.7557386833	1620
