23.8960   99.5960    5.00   3.70 0.0 0.0 0.0    332062
23.9740   99.9560    8.00   3.80 0.0 0.0 0.0    352833
23.9220   99.6050    4.00   3.00 0.0 0.0 0.0    386855
23.0890  100.9450    7.00   3.90 0.0 0.0 0.0    242472
23.8030  100.8180    6.00   3.00 0.0 0.0 0.0    321837
23.3400  100.0800   14.00   4.20 0.0 0.0 0.0    325636
23.7100  100.6900   10.00   4.00 0.0 0.0 0.0    378282
23.7630  100.0140   22.00   3.00 0.0 0.0 0.0    436436
23.3200  100.4900   10.00   5.90 0.0 0.0 0.0    456357
23.3300  100.5000   10.00   5.90 0.0 0.0 0.0    456937
23.0090  101.0390    6.00   3.70 0.0 0.0 0.0    238723
23.0840  101.5990    6.00   4.10 0.0 0.0 0.0    279289
23.0800  101.2200   10.00   4.20 0.0 0.0 0.0    320341
23.3910  101.6020   10.00   4.10 0.0 0.0 0.0    341737
23.9070  101.3590   18.00   3.40 0.0 0.0 0.0    471344
23.2410  101.3770   15.00   3.80 0.0 0.0 0.0    524790
23.3600  101.5950   22.00   3.70 0.0 0.0 0.0    545801
23.1940  101.3530   14.00   3.60 0.0 0.0 0.0    556445
23.7390  102.0400    6.00   2.90 0.0 0.0 0.0    271301
23.7280  102.0330    7.00   3.70 0.0 0.0 0.0    271334
23.8680  102.8410    9.00   3.00 0.0 0.0 0.0    416858
23.8930  102.8490   18.00   3.40 0.0 0.0 0.0    473325
23.8600  102.2980   13.00   2.90 0.0 0.0 0.0    484854
23.8960  102.9000   11.00   2.50 0.0 0.0 0.0    552976
23.6140  103.1090    5.00   3.80 0.0 0.0 0.0    265263
23.7310  103.1520    7.00   2.90 0.0 0.0 0.0    311350
23.7450  103.3200    5.00   3.10 0.0 0.0 0.0    404573
23.2900  103.2040    3.00   2.80 0.0 0.0 0.0    508818
23.2840  103.2020   11.00   3.80 0.0 0.0 0.0    515111
23.3020  103.2090   11.00   3.40 0.0 0.0 0.0    517650
23.7530  103.3130   15.00   3.60 0.0 0.0 0.0    548458
23.7380  103.3090   18.00   3.70 0.0 0.0 0.0    551695
23.6360  104.3020    7.00   3.10 0.0 0.0 0.0    266854
23.0570  104.1680    6.00   3.10 0.0 0.0 0.0    267286
23.6020  104.0600    6.00   3.20 0.0 0.0 0.0    267692
23.2390  104.3500    8.00   2.60 0.0 0.0 0.0    271597
23.5730  104.0840    6.00   2.60 0.0 0.0 0.0    285300
23.5670  104.0720    8.00   3.10 0.0 0.0 0.0    285960
23.0490  104.1760    8.00   3.20 0.0 0.0 0.0    301255
23.9710  104.8230    8.00   2.90 0.0 0.0 0.0    308603
23.5380  104.0800   14.00   2.00 0.0 0.0 0.0    357029
23.5640  104.4380    5.00   2.30 0.0 0.0 0.0    529359
23.2210  105.0090    7.00   2.10 0.0 0.0 0.0    202167
23.6980  105.5570    8.00   2.50 0.0 0.0 0.0    235976
23.8980  105.0800    6.00   2.10 0.0 0.0 0.0    241691
23.0400  105.0730    7.00   2.20 0.0 0.0 0.0    258452
23.8820  105.0440    6.00   2.10 0.0 0.0 0.0    279867
23.8070  105.5110    5.00   2.60 0.0 0.0 0.0    305704
23.7440  105.4380    5.00   2.20 0.0 0.0 0.0    336443
23.8280  105.3620    6.00   2.30 0.0 0.0 0.0    376540
23.5010  105.9140    5.00   2.20 0.0 0.0 0.0    399293
23.5200  105.3040   10.00   2.10 0.0 0.0 0.0    420806
23.0050  105.1600   10.00   3.20 0.0 0.0 0.0    500904
23.1800  105.3830    8.00   2.90 0.0 0.0 0.0    516747
23.7500  106.0870    5.00   2.50 0.0 0.0 0.0    224993
23.2540  106.5810   10.00   2.60 0.0 0.0 0.0    250780
23.9620  106.1650    6.00   3.70 0.0 0.0 0.0    271661
23.4810  106.0850    7.00   2.80 0.0 0.0 0.0    395543
23.2190  106.2170    4.00   3.70 0.0 0.0 0.0    535463
23.5580  106.3720    7.00   2.80 0.0 0.0 0.0    547384
23.5550  106.3810   10.00   3.20 0.0 0.0 0.0    547721
23.2030  106.1710    6.00   3.50 0.0 0.0 0.0    573873
23.1780  106.2130    8.00   2.80 0.0 0.0 0.0    576847
24.9800   96.3990    6.00   3.10 0.0 0.0 0.0    323153
24.0590   96.5150   10.00   3.20 0.0 0.0 0.0    328257
24.5430   96.2790   12.00   3.80 0.0 0.0 0.0    476127
24.8560   96.5350    5.00   3.90 0.0 0.0 0.0    508869
24.6980   96.8740   20.00   2.80 0.0 0.0 0.0    511869
24.1450   96.5820   17.00   3.00 0.0 0.0 0.0    578850
24.7200   97.9200   10.00   4.50 0.0 0.0 0.0    277116
24.6500   97.9500   10.00   5.90 0.0 0.0 0.0    283716
24.7170   97.8500    6.00   4.00 0.0 0.0 0.0    286445
24.9950   97.7200   16.00   4.20 0.0 0.0 0.0    392708
24.9800   97.8300   12.00   5.90 0.0 0.0 0.0    407958
24.9810   97.8280    9.00   3.90 0.0 0.0 0.0    410520
24.9960   97.8370    5.00   4.20 0.0 0.0 0.0    410959
24.9900   97.7400   11.00   4.20 0.0 0.0 0.0    417278
24.9890   97.8640   10.00   4.00 0.0 0.0 0.0    417707
24.9760   98.3110    6.00   3.80 0.0 0.0 0.0    254596
24.9600   98.3500   11.00   4.30 0.0 0.0 0.0    254721
24.9940   98.3220    6.00   3.40 0.0 0.0 0.0    254780
24.9500   98.3300   11.00   4.00 0.0 0.0 0.0    254901
24.9780   98.9180    5.00   3.90 0.0 0.0 0.0    285769
24.7390   98.6600   12.00   3.30 0.0 0.0 0.0    500339
24.7300   98.6640   14.00   3.40 0.0 0.0 0.0    500341
24.8500   99.2100    5.00   4.80 0.0 0.0 0.0    261311
24.9200   99.2300   11.00   4.10 0.0 0.0 0.0    262486
24.9000   99.2000   11.00   4.10 0.0 0.0 0.0    262492
24.9000   99.2200    9.00   4.10 0.0 0.0 0.0    262495
24.8970   99.2030    9.00   3.50 0.0 0.0 0.0    267055
24.8760   99.1920    6.00   3.50 0.0 0.0 0.0    268712
24.6820  100.5770    7.00   3.30 0.0 0.0 0.0    285648
24.3130  100.9030    8.00   2.80 0.0 0.0 0.0    312147
24.0690  100.0400    6.00   3.10 0.0 0.0 0.0    326668
24.5540  100.6740   10.00   3.40 0.0 0.0 0.0    330647
24.7970  100.0360   18.00   3.10 0.0 0.0 0.0    387538
24.9390  100.0650   10.00   3.80 0.0 0.0 0.0    515620
24.7010  100.4570   17.00   2.80 0.0 0.0 0.0    518841
24.7900  101.0400   13.00   4.20 0.0 0.0 0.0    241005
24.4080  101.9170    6.00   2.80 0.0 0.0 0.0    266356
24.4360  101.9890   12.00   3.40 0.0 0.0 0.0    478404
24.4210  101.9710   10.00   3.50 0.0 0.0 0.0    478504
24.4150  101.9680    8.00   4.10 0.0 0.0 0.0    481265
24.7530  101.7010    6.00   3.20 0.0 0.0 0.0    491916
24.7270  101.7200   12.00   2.60 0.0 0.0 0.0    496477
24.8850  101.5130   16.00   3.40 0.0 0.0 0.0    516832
24.2700  102.4360    7.00   3.70 0.0 0.0 0.0    308783
24.5880  102.5150    6.00   3.00 0.0 0.0 0.0    368804
24.9770  102.1850    5.00   3.80 0.0 0.0 0.0    428176
24.3550  102.6120   13.00   3.00 0.0 0.0 0.0    519260
24.3080  102.2640   14.00   4.00 0.0 0.0 0.0    551143
24.4720  102.3720   12.00   2.70 0.0 0.0 0.0    566933
