#  Velocities of campaign stations with respective to EURASIA plate from 2009-2014
#  Lon.— Longitude in angle degree
#  Lat.— Latitude in angle degree
#  Ve  — Velocity(mm/a) in east component
#  Vn  — Velocity(mm/a) in north component
#  sVe — Velocity error(mm/a) in east component
#  sVn — Velocity error(mm/a) in north component
#  cor - Correlation between eastward and northward components
#  Site— station code
#  Lon.     Lat.    Ve     Vn       sVe     sVn  cor   Site
   114.1    32.1    5.17   -2.55    0.24    0.40  0  C062
   112.4    32.5    6.37   -3.16    0.25    0.37  0  C063
   114.6    31.3    8.32   -0.62    0.38    0.52  0  C064
   113.3    31.7    7.36   -1.39    0.49    0.38  0  C065
   115.5    37.8    8.18   -1.18    0.34    0.43  0  C301
   115.2    37.9    6.89   -0.89    0.18    0.31  0  C302
   114.9    38.2    6.75   -1.01    0.30    0.44  0  C303
   112.6    37.7    6.40   -1.24    0.19    0.32  0  C304
   112.7    37.6    7.95   -1.20    0.26    0.23  0  C305
   112.8    36.4    6.30   -1.00    0.23    0.25  0  C306
   112.9    37.8    5.80   -1.89    0.19    0.36  0  C307
   113.2    36.1    5.48   -1.62    0.30    0.36  0  C308
   113.4    36.6    5.20   -1.36    0.24    0.37  0  C309
   113.8    38.1    5.12   -1.88    0.25    0.23  0  C312
   113.9    37.0    6.65   -0.69    0.68    0.42  0  C313
   113.9    37.7    4.78   -0.79    0.25    0.31  0  C314
   114.1    36.2    3.93   -3.33    0.46    0.25  0  C315
   114.1    32.6    5.76   -1.58    0.29    0.21  0  C316
   114.2    37.5    5.23   -1.27    0.24    0.20  0  C317
   114.5    33.6    6.68   -1.36    0.14    0.17  0  C318
   114.5    36.8    7.15   -2.86    0.24    0.16  0  C319
   114.6    36.2    6.68   -1.29    0.41    0.30  0  C320
   114.7    34.3    6.08   -0.62    0.38    0.61  0  C321
   114.6    35.2    5.10   -1.16    0.29    0.26  0  C322
   114.9    32.0    8.30   -1.22    0.63    0.23  0  C324
   115.0    38.1    6.56   -1.30    0.26    0.13  0  C325
   115.1    33.0    5.54   -0.58    0.28    0.30  0  C326
   115.1    32.5    5.98   -1.62    0.40    0.39  0  C327
   115.1    34.8    4.53   -1.90    0.15    0.49  0  C328
   115.2    33.6    5.44   -0.38    0.22    0.25  0  C329
   115.6    35.7    4.51   -1.61    0.13    0.24  0  C330
   115.7    38.0    4.69    0.51    0.65    0.31  0  C331
   115.8    36.7    3.74   -1.81    0.61    0.33  0  C332
   116.0    37.3    7.72    1.69    0.29    0.20  0  C333
   116.1    32.3    5.98   -0.86    0.28    0.27  0  C334
   116.1    33.9    8.18   -1.12    0.34    0.16  0  C335
   116.3    34.6    7.37    0.95    0.49    0.50  0  C336
   116.4    31.6    6.78   -1.97    0.29    0.16  0  C337
   116.4    38.3    6.62   -1.77    0.59    0.42  0  C338
   116.5    33.3    6.09   -1.17    0.40    0.33  0  C339
   115.0    35.8    5.11   -2.17    0.18    0.30  0  C340
   116.1    38.5    6.71   -2.13    0.68    0.44  0  CB01
   115.0    38.0    6.39   -1.71    0.33    0.14  0  CB02
   115.7    37.7    5.29   -1.26    0.15    0.23  0  CB03
   114.5    37.1    6.40   -1.15    0.34    0.23  0  CB04
   116.5    35.4    5.98   -0.52    0.59    0.35  0  CB05
   114.3    36.1    4.90   -3.55    0.66    0.40  0  CB07
   112.8    35.5    3.63   -2.64    0.33    0.33  0  CB08
   117.4    38.4    9.95   -0.88    1.04    1.11  0  CB10
   110.9    41.3    3.25   -0.12    0.19    0.23  0  D001
   111.4    41.1    3.44   -0.78    0.19    0.22  0  D002
   110.1    41.0    3.46   -0.09    0.18    0.30  0  D003
   111.2    40.7    3.27   -2.08    0.24    0.25  0  D005
   110.5    40.6    4.88    0.14    0.29    0.29  0  D006
   110.0    40.6    2.67   -0.25    0.15    0.25  0  D007
   111.8    40.4    4.19   -1.03    0.33    0.33  0  D008
   111.2    40.3    4.62   -0.88    0.35    0.69  0  D009
   110.8    39.8    4.24   -1.31    0.28    0.13  0  D011
   112.3    39.6    3.92   -1.49    0.33    0.34  0  D012
   111.5    39.4    5.41   -0.63    0.31    0.20  0  D013
   113.3    38.3    5.09   -2.17    0.44    0.25  0  D015
   113.2    37.9    6.36   -1.61    0.86    0.86  0  D016
   112.6    38.0    6.06   -1.67    0.25    0.30  0  D017
   112.8    37.5    6.83   -1.83    0.36    0.20  0  D018
   112.5    37.2    5.38   -0.61    0.41    0.33  0  D019
   112.1    37.5    6.77   -3.18    0.24    0.22  0  D020
   112.8    36.8    5.85   -1.44    0.23    0.22  0  D023
   111.8    36.9    6.35   -1.36    0.22    0.40  0  D024
   112.4    36.6    5.73   -1.46    0.22    0.34  0  D025
   112.2    36.2    5.84   -1.40    0.40    0.29  0  D026
   111.8    36.3    6.37   -2.94    0.24    0.21  0  D027
   111.5    36.1    6.75   -3.63    0.28    0.32  0  D029
   110.7    36.1    8.47   -4.73    0.49    0.64  0  D030
   112.2    35.7    6.14   -1.55    0.26    0.33  0  D031
   111.3    35.5    6.21   -1.54    0.33    0.26  0  D032
   110.7    35.6    5.29   -0.95    0.42    0.46  0  D033
   111.7    35.3    5.49   -1.29    0.39    0.56  0  D034
   111.0    35.0    6.71    1.40    0.17    0.34  0  D035
   110.2    35.3    6.94   -1.82    0.20    0.19  0  D036
   111.2    34.8    6.37   -2.65    0.26    0.20  0  D037
   110.4    34.8    4.95   -1.01    0.15    0.27  0  D038
   111.1    34.1    5.52   -1.63    0.21    0.27  0  D039
   110.0    41.8    5.81    0.59    0.33    0.18  0  D040
   107.0    41.4    3.48    0.11    0.26    0.40  0  D042
   109.8    41.2    3.30   -1.13    0.16    0.20  0  D043
   109.1    41.0    4.06    1.01    0.22    0.35  0  D044
   108.3    41.1    4.77    0.19    0.21    0.20  0  D045
   107.2    40.9    4.38   -0.52    0.20    0.31  0  D047
   109.5    40.6    2.16   -1.44    0.18    0.18  0  D048
   108.6    40.9    4.63    1.29    0.29    0.21  0  D049
   107.9    40.8    2.73   -0.23    0.20    0.19  0  D050
   109.9    40.3    3.50    0.49    0.23    0.17  0  D052
   107.0    40.3    2.34   -4.01    0.66    0.34  0  D053
   110.0    39.8    5.90    1.26    0.33    0.28  0  D054
   108.7    39.9    5.61    0.84    0.29    0.19  0  D055
   109.8    39.4    4.83   -0.65    0.20    0.24  0  D056
   108.0    39.1    5.70    0.04    0.23    0.30  0  D057
   109.8    38.3    5.59   -1.10    0.19    0.19  0  D058
   107.2    38.5    5.91   -0.80    0.22    0.29  0  D059
   109.4    36.7    6.42   -0.51    0.26    0.20  0  D061
   107.2    36.8    6.21   -1.65    0.35    0.18  0  D062
   109.8    35.6    6.10   -1.06    0.54    0.44  0  D064
   107.4    35.3    6.12   -2.02    0.25    0.26  0  D065
   109.0    35.0    8.22   -1.25    0.46    0.49  0  D066
   109.6    35.0    5.39   -1.50    0.42    0.38  0  D068
   110.0    34.8    5.75   -1.51    0.25    0.23  0  D069
   109.7    34.5    6.77   -1.57    0.27    0.16  0  D070
   108.9    34.6    6.45   -1.75    0.43    0.71  0  D071
   108.2    34.5    6.92   -1.32    0.25    0.21  0  D072
   107.4    34.5    6.68   -2.31    0.46    0.55  0  D074
   110.0    34.3    5.63   -1.76    0.29    0.39  0  D075
   108.2    34.3    7.19   -3.46    0.74    0.53  0  D077
   109.9    33.9    7.16   -0.97    0.35    0.44  0  D078
   108.9    34.1    5.83   -0.83    0.20    0.23  0  D079
   108.2    34.1    8.86   -2.54    0.30    0.19  0  D080
   107.6    34.1    8.44   -1.37    0.40    0.52  0  D081
   107.3    34.1    7.92   -2.25    0.37    0.31  0  D082
   106.8    39.9    2.98   -0.57    0.20    0.49  0  D083
   106.7    39.5    5.68   -0.11    0.32    0.36  0  D086
   106.1    39.0    4.00    0.25    0.24    0.19  0  D088
   106.5    39.1    6.05    0.12    0.36    0.32  0  D089
   106.7    38.8    5.27   -0.61    0.13    0.33  0  D090
   106.2    38.7    4.13   -0.24    0.31    0.22  0  D091
   106.6    38.5    5.12   -0.63    0.23    0.28  0  D093
   105.7    38.4    5.44    1.50    0.32    0.23  0  D095
   106.4    37.8    6.57   -0.79    0.22    0.27  0  D096
   113.0    37.5    6.00   -0.89    0.27    0.22  0  D301
   110.9    40.0    4.54   -0.71    0.12    0.21  0  D302
   111.1    40.1    4.04    0.25    0.17    0.22  0  D303
   111.3    40.4    6.17    0.76    0.28    0.25  0  D304
   111.5    40.6    4.44   -0.93    0.32    0.20  0  D305
   111.6    40.8    3.41   -3.22    0.31    0.36  0  D306
   111.8    41.1    3.61   -0.76    0.16    0.17  0  D307
   108.9    41.9    4.01   -0.82    0.18    0.27  0  D308
   107.6    41.4    3.40   -1.17    0.19    0.16  0  D309
   107.9    41.8    4.32    0.27    0.33    0.20  0  D310
   108.7    41.2    2.94    0.25    0.26    0.21  0  D311
   109.2    41.5    3.82   -0.25    0.23    0.16  0  D312
   109.5    40.9    3.10    0.11    0.17    0.29  0  D313
   109.7    40.5    5.13    0.98    0.17    0.31  0  D314
   110.2    40.8    3.04    0.01    0.28    0.21  0  D315
   110.2    40.4    5.10    0.33    0.34    0.20  0  D316
   110.3    41.3    4.66    0.19    0.21    0.30  0  D317
   110.8    40.9    5.24    0.18    0.38    0.23  0  D318
   110.9    40.4    3.71    0.59    0.14    0.27  0  D319
   111.5    40.2    3.21    0.02    0.19    0.26  0  D320
   112.0    40.7    3.17   -0.39    0.17    0.26  0  D321
   112.0    40.4    4.22   -0.91    0.15    0.26  0  D322
   112.5    41.9    3.61   -1.55    0.20    0.17  0  D323
   111.8    39.9    4.59   -0.98    0.23    0.24  0  D324
   112.7    39.6    5.22   -1.46    0.25    0.17  0  D325
   112.6    38.9    5.62   -0.93    0.31    0.31  0  D326
   112.5    38.6    5.45   -1.80    0.19    0.33  0  D327
   112.5    38.2    5.86   -1.80    0.29    0.34  0  D328
   112.2    37.8    3.95   -1.69    0.26    0.23  0  D329
   111.7    37.7    4.79    0.12    0.31    0.51  0  D330
   111.7    37.4    6.22   -1.41    0.39    0.32  0  D331
   111.4    37.1    6.52   -1.38    0.24    0.18  0  D332
   110.2    35.1    7.10   -2.00    0.30    0.18  0  D333
   110.5    34.0    5.89   -1.13    0.35    0.32  0  D334
   110.8    34.5    4.72   -4.16    0.36    0.55  0  D335
   110.7    35.2    5.97   -1.94    0.25    0.27  0  D336
   111.0    35.5    6.13   -1.19    0.24    0.33  0  D337
   111.0    35.9    6.61   -1.79    0.19    0.25  0  D338
   111.2    35.3    6.57   -0.76    0.33    0.21  0  D339
   111.4    36.2    7.18   -1.69    0.35    0.35  0  D340
   111.4    35.9    6.89   -2.04    0.23    0.19  0  D341
   111.2    37.0    6.06   -0.81    0.31    0.19  0  D342
   111.5    36.4    6.26   -1.98    0.23    0.21  0  D343
   111.7    35.8    6.07   -1.11    0.34    0.26  0  D345
   111.8    34.8    5.94   -1.54    0.30    0.21  0  D346
   111.7    36.6    3.35   -1.04    0.19    0.28  0  D347
   111.7    36.1    5.61   -1.71    0.21    0.29  0  D348
   112.1    35.9    6.06   -1.46    0.41    0.48  0  D349
   112.1    37.3    6.95   -0.92    0.29    0.17  0  D350
   112.5    37.5    5.87   -1.98    0.25    0.33  0  D352
   112.5    33.9    5.43   -0.99    0.22    0.28  0  D353
   108.6    40.6    4.68   -1.20    0.24    0.17  0  D354
   106.5    40.6    4.56   -0.19    0.15    0.16  0  D355
   107.3    40.6    4.06   -2.05    0.21    0.20  0  D356
   105.8    40.3    4.06    0.39    0.24    0.13  0  D357
   109.3    40.5    5.07   -1.06    0.28    0.25  0  D358
   110.6    40.0    3.80   -0.25    0.19    0.25  0  D359
   105.1    40.8    3.51   -0.93    0.20    0.28  0  D360
   112.2    39.9    5.26   -1.12    0.28    0.19  0  D361
   107.6    39.8    4.95   -0.90    0.13    0.22  0  D362
   112.9    39.6    5.25   -1.10    0.31    0.24  0  D363
   105.8    39.4    4.92    0.35    0.23    0.14  0  D364
   106.9    39.2    4.07   -1.39    0.18    0.21  0  D365
   110.9    39.1    5.42   -0.61    0.33    0.21  0  D366
   106.4    38.9    5.06    1.02    0.22    0.30  0  D367
   105.4    38.8    5.08    0.58    0.19    0.16  0  D368
   112.0    38.6    5.76   -1.47    0.31    0.23  0  D369
   108.8    38.5    5.86   -0.46    0.32    0.19  0  D370
   106.6    38.2    5.08   -0.23    0.18    0.18  0  D371
   108.8    37.6    6.66   -1.20    0.29    0.20  0  D372
   110.3    37.5    6.25   -1.42    0.20    0.18  0  D373
   111.0    37.0    6.07   -0.88    0.32    0.14  0  D374
   108.2    36.8    6.93   -2.50    0.30    0.14  0  D375
   111.4    36.6    6.56   -1.67    0.19    0.23  0  D376
   109.0    35.7    5.79   -1.01    0.28    0.14  0  D377
   109.2    35.4    7.67   -1.47    0.34    0.26  0  D378
   108.3    34.8    6.14   -1.54    0.19    0.26  0  D379
   108.5    34.7    6.38   -1.86    0.31    0.43  0  D380
   109.4    34.6    5.03   -1.10    0.19    0.36  0  D381
   108.6    34.6    6.60   -1.29    0.23    0.16  0  D382
   108.7    34.4    6.27   -0.89    0.19    0.44  0  D383
   108.7    34.3    7.13   -2.68    0.25    0.34  0  D384
   107.7    34.3    6.63   -2.13    0.30    0.26  0  D385
   109.4    34.2    5.71   -2.65    0.36    0.24  0  D386
   107.8    41.3    3.48   -0.82    0.13    0.23  0  DB01
   107.5    41.3    1.78   -2.27    0.21    0.14  0  DB02
   107.8    36.1    4.54   -1.32    0.40    0.36  0  DB03
   106.3    39.2    3.70   -0.52    0.18    0.19  0  DB04
   106.2    38.4    4.89    0.11    0.28    0.24  0  DB05
   106.7    37.5    5.13   -1.33    0.14    0.24  0  DB06
   113.2    37.9    3.61   -0.76    0.40    0.49  0  DB10
   134.3    48.3    1.73   -5.59    0.59    0.89  0  E001
   134.0    46.8    3.81   -9.18    0.70    1.46  0  E003
   126.7    51.7    1.05   -1.65    0.59    0.47  0  E005
   129.6    49.3    2.52   -2.54    0.34    0.45  0  E007
   128.9    47.8    3.41   -2.86    0.47    0.68  0  E008
   126.1    48.5    3.76   -1.89    0.81    0.28  0  E009
   127.4    43.7    9.49   -8.16    0.35    1.06  0  E012
   128.1    42.4   13.40   -3.87    1.11    0.84  0  E016
   126.0    41.7   11.22   -1.03    0.70    1.05  0  E017
   122.3    53.5    2.31   -0.48    0.30    0.60  0  E018
   121.5    50.8    1.63   -2.21    0.36    0.21  0  E020
   121.9    48.8    3.19   -3.70    0.67    0.49  0  E021
   120.9    44.6    7.75   -4.94    0.84    0.93  0  E025
   122.9    42.1    6.81   -1.25    0.76    0.48  0  E029
   122.1    41.7    5.59   -1.16    0.72    0.30  0  E031
   120.8    41.8    5.32   -0.70    0.22    0.20  0  E032
   121.2    41.1    5.68   -1.54    0.41    0.25  0  E033
   122.9    41.1    6.24   -1.14    0.71    0.44  0  E035
   123.5    41.8    5.98   -2.33    0.67    0.19  0  E036
   122.7    41.5    6.19   -1.20    0.62    0.32  0  E037
   124.0    41.9    9.69   -3.93    0.64    0.29  0  E038
   124.9    42.1    9.14   -2.06    0.48    0.53  0  E040
   124.5    40.2    8.16   -2.10    0.47    0.52  0  E041
   124.0    40.5    6.02   -1.90    0.50    0.44  0  E042
   123.3    40.2    7.60   -0.08    0.59    0.69  0  E043
   122.2    40.2    5.14   -1.11    0.50    0.23  0  E045
   120.7    40.6    5.41   -1.69    0.33    0.27  0  E047
   122.0    39.6    6.21   -1.26    0.30    0.30  0  E048
   122.9    39.8    6.69   -0.63    0.47    0.31  0  E049
   123.2    39.1    7.60   -0.94    0.61    0.31  0  E050
   121.5    39.4    4.56   -0.70    0.55    0.40  0  E051
   121.2    38.8    4.96   -1.17    0.46    0.46  0  E053
   117.4    49.6    2.42   -2.72    0.40    0.46  0  E054
   116.8    48.7    2.24   -2.60    0.34    0.27  0  E056
   118.3    48.0    3.21   -2.48    0.56    0.45  0  E057
   119.9    47.2    3.29   -2.83    0.68    0.67  0  E058
   116.9    45.5    4.08   -2.17    0.42    0.34  0  E059
   115.3    41.9    4.32   -2.29    0.47    0.52  0  E061
   119.0    42.3    5.73   -4.09    1.15    1.27  0  E062
   119.4    41.2    4.34   -1.15    0.24    0.20  0  E063
   112.0    43.7    3.87   -2.84    0.46    0.51  0  E064
   122.4    40.8    5.43   -1.42    0.50    0.23  0  E301
   122.2    40.9    5.78    0.11    0.54    0.23  0  E302
   122.0    41.1    7.87   -1.97    0.41    0.18  0  E304
   122.3    41.2    5.16   -0.06    0.44    0.30  0  E305
   121.6    41.3    5.17   -1.84    0.47    0.12  0  E306
   124.4    42.4    5.45   -2.43    0.73    0.61  0  E307
   122.0    42.4    6.31   -1.18    0.43    0.15  0  E308
   122.6    42.4    4.23    0.95    0.83    0.39  0  E309
   123.8    42.2    5.62   -1.41    0.46    0.37  0  E310
   123.3    42.2    6.53   -1.73    0.66    0.30  0  E311
   126.9    42.1    9.68   -2.55    0.78    0.44  0  E312
   122.4    41.9    6.31   -0.92    0.60    0.30  0  E313
   123.0    41.9    6.47   -2.79    0.42    0.48  0  E314
   122.5    41.6    4.78   -1.95    0.51    0.31  0  E315
   121.4    41.6    5.39   -0.68    0.45    0.15  0  E316
   123.3    41.5    4.24   -0.96    0.33    0.16  0  E317
   128.1    41.5   11.81   -3.35    0.76    0.53  0  E318
   125.1    41.4    7.48   -1.60    0.50    0.34  0  E319
   123.6    41.2    5.72   -1.67    0.39    0.17  0  E320
   125.9    41.0    8.32   -1.85    0.56    0.39  0  E321
   121.6    41.0    6.20   -1.88    0.32    0.26  0  E322
   124.7    40.8    9.06   -7.65    0.60    0.35  0  E323
   122.8    40.2    5.69   -1.11    0.38    0.29  0  E324
   123.9    40.2    6.69   -0.83    0.46    0.28  0  E325
   121.9    39.9    5.77   -0.82    0.31    0.24  0  E326
   124.0    39.8    7.08   -1.23    0.44    0.24  0  E327
   123.4    39.8    6.77   -1.25    0.54    0.37  0  E328
   121.5    39.8    5.41   -1.37    0.22    0.29  0  E329
   122.5    39.7    5.53   -1.02    0.33    0.31  0  E330
   122.4    39.2    6.43   -0.49    0.34    0.18  0  E331
   125.7    52.9    1.16   -1.70    0.41    0.29  0  E332
   122.1    52.2    1.55   -1.67    0.24    0.40  0  E333
   124.4    51.7    1.56   -1.96    0.38    0.73  0  E334
   119.3    50.4    1.65   -1.86    0.28    0.40  0  E335
   122.1    49.8    3.75   -3.43    0.54    0.48  0  E336
   125.8    49.6    2.20   -2.48    0.20    0.29  0  E337
   124.3    48.8    2.77   -3.06    0.35    0.27  0  E338
   118.4    48.8    1.89   -2.49    0.34    0.33  0  E339
   127.6    48.7    2.82   -1.97    0.43    0.30  0  E340
   115.9    48.6    2.16   -2.16    0.40    0.29  0  E341
   120.3    48.4    2.91   -3.10    0.48    0.34  0  E342
   133.3    48.1    1.67   -3.74    0.43    0.53  0  E343
   131.1    47.7    3.33   -5.07    0.55    0.23  0  E344
   122.2    47.5    3.06   -2.54    0.39    0.36  0  E345
   127.0    47.4    4.01   -3.38    0.64    0.25  0  E346
   132.6    47.3    2.84   -6.52    0.66    0.44  0  E347
   129.6    46.8    4.75   -4.65    0.77    0.45  0  E348
   125.2    46.6    4.24   -2.58    0.47    0.35  0  E349
   117.9    46.5    3.59   -2.82    0.17    0.48  0  E350
   123.4    46.4    3.85   -2.43    0.51    0.43  0  E351
   133.0    46.5    4.15   -7.41    0.55    0.56  0  E352
   126.3    46.3    5.32   -2.56    0.54    0.36  0  E353
   133.7    46.0    5.50   -8.55    0.63    0.76  0  E354
   128.1    46.0    4.86   -3.34    0.83    0.44  0  E355
   130.1    45.7    6.45   -6.21    0.54    0.62  0  E356
   131.8    45.6    7.22   -8.11    0.56    0.65  0  E357
   119.7    45.5    4.29   -1.72    0.20    0.30  0  E358
   125.0    45.5    4.77   -3.85    0.61    0.22  0  E359
   123.7    45.3    5.01   -2.25    0.47    0.39  0  E360
   128.0    45.2    5.40   -5.79    0.57    0.37  0  E361
   115.2    45.2    3.28   -2.02    0.37    0.26  0  E362
   128.8    45.0    6.45   -6.08    0.68    0.46  0  E363
   126.5    44.8    6.59   -3.24    0.69    0.42  0  E364
   113.5    44.7    3.44   -1.26    0.36    0.38  0  E366
   127.2    44.5    6.88   -3.94    0.58    0.49  0  E367
   117.8    44.6    4.15   -2.21    0.22    0.32  0  E368
   125.2    44.5    5.09   -2.82    0.52    0.29  0  E369
   129.0    44.0    9.15   -5.78    0.81    0.60  0  E370
   126.2    44.0    6.41   -3.70    0.73    0.43  0  E371
   119.4    44.0    4.64   -2.52    0.23    0.42  0  E372
   123.9    44.0    5.99   -2.13    0.59    0.20  0  E373
   113.7    43.8    3.57   -1.54    0.36    0.46  0  E374
   117.6    43.4    4.50   -3.04    0.43    0.53  0  E376
   118.6    43.2    4.13   -1.22    0.23    0.18  0  E378
   116.8    43.2    4.55   -3.10    0.42    0.58  0  E379
   131.1    43.1    7.76   -6.07    0.32    0.19  0  E380
   124.4    43.1    6.79   -2.22    0.52    0.34  0  E381
   115.5    43.0    4.64   -2.17    0.17    0.30  0  E382
   126.7    43.0    7.78   -4.14    0.66    0.45  0  E383
   110.8    42.9    3.71   -2.93    0.30    0.47  0  E384
   120.6    42.9    5.13   -1.41    0.28    0.26  0  E385
   112.7    42.7    3.87   -2.01    0.24    0.35  0  E386
   117.6    42.7    4.09   -1.06    0.31    0.30  0  E387
   114.2    42.6    4.30   -2.32    0.19    0.32  0  E388
   119.6    42.6    3.95   -0.35    0.40    0.24  0  E389
   108.9    42.4    4.28   -0.52    0.34    0.13  0  E390
   115.8    42.3    4.54   -1.79    0.25    0.31  0  E391
   115.0    42.3    4.11   -1.67    0.33    0.34  0  E392
   129.2    42.3   13.32   -3.30    0.68    0.47  0  E393
   118.0    42.1    4.87    0.03    0.27    0.22  0  E394
   113.8    42.0    3.57   -0.80    0.15    0.17  0  E395
   113.1    42.0    3.62   -1.43    0.16    0.18  0  E396
   111.2    41.8    3.27   -0.73    0.19    0.16  0  E397
   118.9    41.7    4.08   -1.36    0.30    0.45  0  E398
   115.7    41.7    4.52   -0.85    0.33    0.25  0  E399
   116.4    41.7    4.22   -0.39    0.34    0.17  0  E400
   120.0    41.6    3.98   -1.31    0.27    0.28  0  E401
   117.5    41.6    4.70   -0.30    0.37    0.17  0  E402
   114.4    41.6    3.36   -1.18    0.21    0.16  0  E403
   120.3    41.2    4.84   -1.28    0.28    0.23  0  E404
   119.6    41.4    7.30   -3.84    0.76    0.80  0  E405
   129.6    44.6    8.94   -6.27    1.35    0.88  0  EB01
   124.3    45.5    9.57   -3.71    0.36    0.58  0  EB02
   122.5    40.6    6.24   -1.34    0.77    0.34  0  EB04
   122.3    30.0    8.81   -0.75    0.31    0.33  0  F002
   121.4    29.6   10.65    1.77    0.88    0.43  0  F003
   120.4    26.7    6.64   -0.45    0.46    0.27  0  F006
   114.1    10.9    4.35    0.49    1.24    0.97  0  F008
   117.0    30.6    5.77   -1.81    0.21    0.17  0  F010
   118.9    30.6    8.55   -1.64    0.29    0.47  0  F011
   117.6    26.3    6.93    0.31    0.34    0.48  0  F014
   119.4    26.0    5.70   -0.25    0.38    0.25  0  F016
   119.8    25.5    6.49    0.62    0.33    0.27  0  F017
   118.8    25.0    6.92   -2.50    0.39    0.45  0  F018
   118.6    24.8    6.37   -0.73    0.26    0.50  0  F020
   117.6    24.1    7.32   -1.29    0.35    0.51  0  F023
   116.7    24.7    7.29   -0.96    0.47    0.72  0  F024
   117.0    23.4    6.01   -1.49    0.33    0.27  0  F025
   116.7    23.7    4.36   -0.77    0.54    0.49  0  F026
   115.8    23.4    3.91   -0.01    0.65    0.69  0  F027
   115.6    23.0    7.02   -0.96    0.72    0.37  0  F028
   112.1    31.9    6.70   -0.64    0.32    0.32  0  F029
   110.4    31.0    5.98    0.24    0.11    0.44  0  F031
   113.6    24.8    6.44   -0.86    0.29    0.30  0  F037
   111.3    23.5    6.18    0.58    0.75    0.92  0  F038
   114.5    22.8    5.61   -2.55    0.97    0.78  0  F041
   113.9    22.6    7.07   -0.45    0.37    0.68  0  F042
   112.7    22.3    6.44   -1.91    0.51    0.25  0  F044
   112.6    21.6    6.50   -1.95    0.41    0.30  0  F045
   112.0    21.9    6.48   -1.20    0.62    0.24  0  F046
   111.6    22.8    6.91   -1.02    0.35    0.22  0  F047
   110.9    21.9    6.16    0.02    0.56    0.28  0  F048
   110.1    22.7    5.67   -1.09    0.53    0.25  0  F049
   110.3    21.6    5.91   -1.54    0.23    0.38  0  F050
   110.2    20.3    4.89   -1.83    0.39    0.29  0  F051
   110.2    20.0    4.88   -1.55    0.46    0.36  0  F052
   108.0    33.5    6.79   -1.13    0.26    0.26  0  F053
   109.1    33.7    6.41   -2.54    0.41    0.41  0  F054
   109.5    30.2    6.03   -0.18    0.41    0.53  0  F056
   110.6    27.9    6.01   -2.25    0.21    0.36  0  F057
   108.3    27.9    5.64   -2.74    0.25    0.19  0  F058
   108.2    23.8    6.13   -1.42    0.38    0.25  0  F059
   107.8    22.3    9.75   -2.38    1.64    0.86  0  F062
   109.3    22.4    3.70   -1.09    0.56    0.44  0  F063
   109.1    21.5    5.39   -1.27    0.34    0.24  0  F064
   109.1    21.0    5.47   -1.75    0.29    0.29  0  F065
   109.3    19.7    5.37   -1.14    0.58    0.44  0  F066
   108.6    19.1    6.30   -1.34    0.55    0.25  0  F067
   109.5    18.2    3.77   -0.18    0.50    0.32  0  F068
   105.8    25.0    6.68   -0.57    0.67    0.25  0  F074
   104.3    24.9    5.56   -1.62    0.16    0.18  0  F076
   105.8    23.4    8.43   -4.92    1.18    1.01  0  F077
   107.1    22.9    8.36   -2.60    1.01    1.06  0  F078
   104.9    26.6    6.96   -1.20    0.36    0.35  0  F080
   120.8    29.8    7.64   -0.70    0.37    0.35  0  F301
   120.1    29.7    7.92    0.42    0.96    0.91  0  F302
   121.6    29.7    8.64   -0.20    0.32    0.48  0  F303
   121.4    29.3    8.43   -0.18    0.21    0.32  0  F304
   120.9    29.3    7.31   -0.81    0.53    0.34  0  F305
   121.9    29.1    7.65    0.34    0.29    0.36  0  F306
   121.2    28.9    7.59   -0.25    0.21    0.33  0  F307
   121.6    28.8    7.99   -0.56    0.38    0.12  0  F308
   119.6    28.7    8.76   -0.65    0.34    0.29  0  F309
   120.7    28.7    8.28   -0.74    0.30    0.31  0  F310
   121.3    28.4    8.19   -0.35    0.28    0.46  0  F311
   120.8    28.3    8.39   -0.21    0.40    0.30  0  F312
   120.1    28.3    8.77   -0.72    0.36    0.31  0  F313
   121.3    28.1    8.42    1.07    0.24    0.36  0  F315
   119.5    28.1    8.15   -0.77    0.42    0.42  0  F316
   120.1    27.9    6.67    0.08    0.37    0.34  0  F317
   120.5    27.8    7.74   -0.19    0.57    0.53  0  F318
   120.6    27.4    6.06    0.83    0.24    0.21  0  F319
   120.3    27.3    6.36   -0.02    0.54    0.39  0  F320
   119.8    27.4    6.67    0.48    0.35    0.35  0  F321
   118.7    27.2    6.94   -1.22    0.25    0.27  0  F322
   120.3    27.1    6.21    0.53    0.39    0.29  0  F323
   119.2    26.7    7.13   -0.82    0.33    0.44  0  F324
   119.6    26.6    5.98   -1.09    0.27    0.34  0  F325
   118.4    26.3    7.36   -1.04    0.31    0.29  0  F326
   119.9    26.3    7.05    0.13    0.38    0.28  0  F327
   118.9    26.2    5.46    0.19    0.48    0.23  0  F328
   118.8    25.9    4.57   -3.26    0.36    0.63  0  F329
   118.2    25.8    6.50   -2.16    0.41    0.62  0  F330
   119.5    25.6    5.98    0.17    0.20    0.24  0  F331
   119.2    25.5    7.06    0.07    0.41    0.35  0  F332
   118.1    25.5    7.26   -0.46    0.51    0.37  0  F333
   116.4    25.4    7.69   -1.35    0.27    0.23  0  F334
   117.4    25.4    7.83   -1.17    0.42    0.40  0  F335
