#  Velocities of campaign stations with respective to EURASIA plate from 2009-2014
#  Lon.— Longitude in angle degree
#  Lat.— Latitude in angle degree
#  Ve  — Velocity(mm/a) in east component
#  Vn  — Velocity(mm/a) in north component
#  sVe — Velocity error(mm/a) in east component
#  sVn — Velocity error(mm/a) in north component
#  cor - Correlation between eastward and northward components
#  Site— station code
#  Lon.     Lat.    Ve     Vn       sVe     sVn  cor   Site
   118.3    40.4    4.87   -0.90    0.35    0.29  0  A122
   118.3    40.1    1.69    0.42    0.48    0.41  0  A123
   119.2    41.0    3.63   -1.19    0.15    0.20  0  A124
   118.7    40.0    4.03    0.00    0.27    0.26  0  A127
   119.8    40.8    4.10   -0.94    0.34    0.27  0  A128
   119.4    40.5    3.82   -0.52    0.28    0.19  0  A129
   119.2    40.3    3.96    0.83    0.37    0.34  0  A130
   119.7    40.4    4.22   -1.35    0.37    0.33  0  A131
   120.3    40.3    4.78   -0.88    0.37    0.37  0  A132
   119.7    40.0    4.00   -0.81    0.29    0.32  0  A133
   117.7    40.0    5.56   -0.05    0.36    0.22  0  A134
   117.5    39.3    4.92   -6.95    0.54    0.33  0  A136
   117.7    39.3    7.00   -0.10    0.28    0.30  0  A137
   118.2    39.6    7.47   -5.53    0.31    0.39  0  A140
   118.3    39.0    6.27   -3.16    0.17    0.21  0  A141
   118.7    39.7    5.71   -2.15    0.39    0.20  0  A142
   118.5    39.3    5.33   -2.87    0.34    0.20  0  A144
   119.3    39.9    7.98   -2.52    0.62    0.63  0  A147
   119.0    39.9    4.54   -1.16    0.32    0.19  0  A148
   116.2    40.3    2.55   -3.10    0.33    0.20  0  A150
   116.1    40.3    5.71   -1.32    0.34    0.38  0  A151
   116.2    40.2    4.60   -0.44    0.33    0.27  0  A152
   116.1    40.3    5.15    0.36    0.28    0.23  0  A153
   116.3    39.8    7.61   -3.67    1.50    1.45  0  A156
   116.2    39.8    8.84   -4.13    0.25    0.28  0  A157
   116.1    39.8    6.39   -1.05    0.46    0.24  0  A158
   116.0    39.8    6.31   -0.84    0.21    0.15  0  A159
   116.9    39.2    7.33   -3.44    0.12    0.35  0  A301
   113.9    39.4    5.83   -1.12    0.26    0.22  0  A302
   117.4    39.8    5.63   -1.87    0.26    0.19  0  A303
   112.8    40.7    4.03   -1.44    0.30    0.25  0  A304
   113.0    40.4    4.25   -1.52    0.13    0.20  0  A305
   113.0    40.4    5.17   -0.54    0.28    0.15  0  A306
   113.5    41.6    3.61   -0.97    0.14    0.22  0  A307
   113.5    41.1    3.51   -1.17    0.20    0.27  0  A308
   113.7    40.6    4.16   -1.58    0.14    0.22  0  A309
   114.3    41.0    4.43   -0.71    0.22    0.15  0  A310
   114.5    41.3    4.16   -0.87    0.22    0.18  0  A311
   114.6    40.7    3.84   -2.04    0.13    0.17  0  A312
   114.8    41.0    0.87   -5.57    0.19    0.29  0  A313
   115.0    40.7    4.55   -1.36    0.17    0.16  0  A314
   115.1    41.5    4.12   -0.96    0.28    0.17  0  A315
   115.2    40.5    4.03    0.10    0.20    0.17  0  A316
   115.6    40.9    4.00   -0.90    0.20    0.23  0  A317
   115.7    40.6    4.54   -1.87    0.24    0.19  0  A318
   116.4    40.9    4.07   -0.92    0.38    0.27  0  A319
