2.33	48.87	0
1.05436700641	49.2007764739	100
-0.23807154279	49.5173184725	200
-1.54695826904	49.8192795927	300
-2.87187442822	50.1063192532	400
-4.21233842391	50.3781041785	500
-5.56780476344	50.6343099367	600
-6.9376635107	50.8746225193	700
-8.32124028591	51.0987399497	800
-9.71779685679	51.3063739041	900
-11.1265323581	51.4972513273	1000
-12.5465851674	51.6711160261	1100
-13.9770354544	51.8277302203	1200
-15.416908408	51.9668760302	1300
-16.8651781332	52.0883568827	1400
-18.3207721953	52.1919988129	1500
-19.7825767732	52.2776516444	1600
-21.2494423723	52.3451900289	1700
-22.7201900294	52.3945143285	1800
-24.1936179353	52.425551327	1900
-25.6685083834	52.4382547579	2000
-27.1436349496	52.4326056406	2100
-28.6177697999	52.4086124187	2200
-30.0896910176	52.3663108987	2300
-31.5581898453	52.3057639889	2400
-33.0220777338	52.2270612445	2500
-34.4801931016	52.1303182258	2600
-35.9314077095	52.0156756795	2700
-37.3746325716	51.883298558	2800
-38.8088233301	51.7333748913	2900
-40.2329850395	51.5661145295	3000
-41.6461763149	51.3817477747	3100
-43.0475128191	51.1805239223	3200
-44.4361700722	50.9627097321	3300
-45.811385585	50.7285878486	3400
-47.172460328	50.4784551922	3500
-48.5187595605	50.2126213372	3600
-49.8497130525	49.9314068974	3700
-51.1648147421	49.6351419333	3800
-52.4636218767	49.3241643965	3900
-53.7457536893	48.9988186236	4000
-55.0108896678	48.6594538913	4100
-56.2587674718	48.3064230407	4200
-57.489180556	47.9400811789	4300
-58.701975554	47.5607844629	4400
-59.8970494769	47.1688889694	4500
-61.074346776	46.7647496541	4600
-62.2338563161	46.3487193988	4700
-63.3756083024	45.9211481484	4800
-64.4996711969	45.4823821357	4900
-65.6061486584	45.0327631903	5000
-66.6951765358	44.5726281313	5100
-67.7669199361	44.1023082367	5200
-68.8215703895	43.6221287889	5300
-69.8593431273	43.1324086893	5400
-70.8804744829	42.6334601386	5500
-71.8852194282	42.1255883776	5600
-72.8738492496	41.6090914844	5700
-73.846649367	41.0842602223	5800
-74	41	5815.91188491
